Laikotarpis,Rodiklis,Kelių naudotojai,Nukentėjusysis,Nukentėjusiųjų tipas,Matavimo vienetai,Reikšmė
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,53
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,64
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,69
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,5
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,7
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Krovininių automobilių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,4
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Vairuotojai,Sužeistieji,kelių naudotojai,938
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Vairuotojai,Sužeistieji,kelių naudotojai,928
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Vairuotojai,Sužeistieji,kelių naudotojai,856
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Vairuotojai,Žuvusieji,kelių naudotojai,50
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Vairuotojai,Žuvusieji,kelių naudotojai,53
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Kiti asmenys,Vairuotojai,Žuvusieji,kelių naudotojai,34
